seen_count,alsa,pick_count,ata,game_count,win_rate,sideboard_game_count,sideboard_win_rate,opening_hand_game_count,oh wr,drawn_game_count,drawn_win_rate,ever_drawn_game_count,gd wr,never_drawn_game_count,never_drawn_win_rate,iwd,name,color,rarity,url,url_back,expansion,id,types
69422,5.5201665,14412,7.3263253,48198,0.53564463,0,,8284,0.53331724,15030,0.57312043,19503,0.5515049,18617,0.52199603,0.02950886999999991,Field Research,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/a/4/a48c3a2f-678b-4e70-a53f-258457d88d29.jpg?1604194056,,ZNR,73247,Sorcery
76384,6.3164537,12059,8.920889,25885,0.53683601,0,,4339,0.51348237,8144,0.55709725,10688,0.53995135,9893,0.53057718,0.00937417000000007,Glacial Grasp,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/3/8/381d84d6-7b34-44cb-a697-54b835ba1281.jpg?1604194085,,ZNR,73248,Instant
3016,1.9993369,1693,2.02658,7861,0.53720901,0,,1089,0.57300275,1832,0.57914847,2734,0.5771763,3247,0.51678472,0.06039158,Glasspool Mimic,U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/5/a/5adcb500-8c77-4925-8e2c-1243502827d1.jpg?1604243976,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/5/a/5adcb500-8c77-4925-8e2c-1243502827d1.jpg?1604243976,ZNR,73249,Creature - Shapeshifter Rogue
2739,1.8393574,1710,1.8508772,8481,0.55630232,0,,1071,0.57236228,2492,0.65770465,3097,0.61414272,3442,0.50697269,0.10717003000000003,Inscription of Insight,U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/8/281cdb1c-21ae-4430-8e0f-c993f52ba891.jpg?1604194137,,ZNR,73251,Sorcery
46955,3.6439996,18249,4.1772152,58847,0.53705372,0,,11994,0.54210439,24210,0.59178026,26211,0.56422876,19016,0.5024716,0.06175715999999998,Into the Roil,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/8/9/899540b0-c17a-4a73-912c-9b8925203de1.jpg?1604194172,,ZNR,73252,Instant
1077,1.4280409,779,1.4351733,3458,0.51966455,0,,458,0.51965066,827,0.55743652,1262,0.54120444,1461,0.50308008,0.03812435999999997,"Jace, Mirror Mage",U,mythic,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/e/fe0ed348-e4ed-4b6a-b9d9-03539a6fb42a.jpg?1604194202,,ZNR,73253,Legendary Planeswalker - Jace
1077,1.4280409,779,1.4351733,3458,0.51966455,0,,458,0.51965066,827,0.55743652,1262,0.54120444,1461,0.50308008,0.03812435999999997,"Jace, Mirror Mage",U,mythic,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/f/e/fe0ed348-e4ed-4b6a-b9d9-03539a6fb42a.jpg?1604194202,,ZNR,74695,Legendary Planeswalker - Jace
25677,4.8157495,5421,6.3375761,23102,0.53250801,0,,3224,0.53473945,5097,0.54031783,7990,0.5379224,8853,0.53236191,0.005560490000000029,Jwari Disruption,U,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/3/0/301750a7-d1fd-435e-bfa8-9d2fb22ad627.jpg?1604250757,https://c1.scryfall.com/file/scryfall-cards/border_crop/back/3/0/301750a7-d1fd-435e-bfa8-9d2fb22ad627.jpg?1604250757,ZNR,73254,Instant
82465,7.3186321,10410,10.628818,11892,0.51698621,0,,1345,0.49665428,2789,0.51380423,3756,0.51118211,4150,0.51831325,-0.007131139999999925,Living Tempest,U,common,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/a/0/a05ed233-9b53-4c67-ab1c-0217386c9fe4.jpg?1604194351,,ZNR,73256,Creature - Elemental
14112,3.1779337,5432,3.4791973,22965,0.5514914,0,,3179,0.54797106,7444,0.61418592,9111,0.57973878,8886,0.52149449,0.058244289999999976,Lullmage's Domination,U,uncommon,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/c/9/c9944393-348f-4f0e-a0c7-9adcc5a30749.jpg?1604194383,,ZNR,73257,Sorcery
4762,3.3231835,938,4.0799574,2587,0.51449555,0,,319,0.49529781,646,0.54798762,884,0.51244344,1078,0.51669759,-0.004254150000000068,Maddening Cacophony,U,rare,https://c1.scryfall.com/file/scryfall-cards/border_crop/front/1/0/10a79733-702c-4611-b073-71db7f1158b2.jpg?1604194415,,ZNR,73258,Sorcery
